text,sentimen
"['presiden', 'jokowi', 'nyata', 'kuliah', 'online', 'new', 'normal', 'pandemi', 'kuliah', 'daring', 'depan', 'jokowi', 'tumbuh', 'normalitas', 'inovatif', 'produktif']",positive
"['yallah', 'moga', 'kuliah', 'online', 'nilai', 'bagus']",positive
"['masih', 'mending', 'bayar', 'kuota', 'daripada', 'bayar', 'biaya', 'rumah', 'sakit', 'gilir', 'salah', 'menteri', 'nya', 'suruh', 'sekolah', 'kuliah', 'gilir', 'suruh', 'ajar', 'online', 'keluh', 'gara', 'gara', 'kuota', 'baca', 'judul', 'nya', 'terima', 'kasih']",positive
"['nyaman', 'kuliah', 'online', 'ya']",positive
"['gue', 'senang', 'banget', 'dosen', 'atma', 'tidak', 'susah', 'buat', 'kasih', 'nilai', 'bagus', 'mahasiswa', 'gue', 'senang', 'banget', 'kuliah', 'online', 'kayak', 'untung', 'gue']",positive
"['tuju', 'kuliah', 'online', 'biar', 'transmisi', 'daerah', 'minim', 'kampus', 'mahasiswa', 'agam', 'sabang', 'merauke', 'coba', 'deh', 'langsung', 'offline', 'otomatis', 'daerah', 'daerah', 'kampus', 'bikin', 'situasi', 'parah']",positive
"['nder', 'sayang', 'nyawa', 'masyarakat', 'peduli', 'ya', 'biar', 'mati', 'kasar', 'kuliah', 'online', 'fine', 'sumber', 'ajar']",positive
"['malas', 'kuliah', 'offline', 'enak', 'kuliah', 'online', 'ku', 'introvert', 'malas', 'temu', 'teman', 'kuliah', 'online', 'tugas', 'no', 'offense', 'stereotype', 'orang', 'pikir', 'digimanain', 'ya', 'biar', 'sadar']",positive
"['tidak', 'niat', 'pakai', 'duit', 'buat', 'skincare', 'berat', 'banget', 'beli', 'skincare', 'efek', 'kuliah', 'online', 'nih', 'malas', 'jajan']",positive
"['ramai', 'deg', 'degan', 'khawatir', 'nder', 'pas', 'kuliah', 'online', 'senang', 'banget', 'jujur', 'banding', 'offline', 'pas', 'online', 'materi', 'ajar', 'dosen', 'paham', 'tidak', 'menganggu', 'deg', 'degan', 'khawatir']",positive
"['rt', 'seok', 'jin', 'kuliah', 'online', 'bisa', 'sibuk', 'urus', 'hasil', 'hebat', 'banget']",positive
"['pagi', 'latih', 'ajar', 'platform', 'online', 'kampus', 'buat', 'siap', 'kuliah', 'semester', 'orang', 'gagap', 'teknologi', 'habis', 'latih', 'kait', 'teknologi', 'pintar']",positive
"['masih', 'online', 'kuliah', 'ya', 'langsung', 'kampus', 'bikin', 'cari', 'sakit', 'takut', 'tular', 'teman', 'kasihan', 'tular', 'mending', 'online', 'buat']",positive
"['semangat', 'mumpung', 'kuliah', 'online']",positive
"['kalian', 'kuliah', 'online', 'rumah', 'niat', 'bantu', 'orang', 'tua', 'bantu', 'kerja', 'rumah', 'tidak', 'beban', 'orang', 'tua', 'bayar', 'kos', 'hidup', 'rantau', 'kalian', 'hebat', 'semangat', 'ya', 'yuk', 'baik', 'niat']",positive
"['kuliah', 'online', 'libur', 'pemberitahuan', 'semester', 'gasal', 'daring', 'bismillah', 'moga', 'allah', 'rida', 'otak', 'produktif', 'pikir', 'ambil', 'hikmah']",positive
"['kuliah', 'online', 'ajar', 'kendara', 'motor', 'rantau', 'gojek', 'angkut', 'kasihan', 'duit']",positive
"['kamu', 'bisa', 'kuliah', 'online', 'nder', 'semangat']",positive
"['iya', 'kuliah', 'online', 'senang', 'tidak', 'interaksi', 'anak', 'kampus', 'kekang', 'pandemi']",positive
"['saran', 'ajar', 'kuliah', 'online', 'masih', 'paham', 'materi', 'coba', 'cari', 'youtube', 'deh', 'bikin', 'materi', 'ajar', 'bisa', 'cerna', 'tidak', 'ketemu', 'coba', 'bikin', 'grup', 'ajar', 'kelas', 'ajak', 'senior', 'buat', 'ajar', 'zoom', 'teams']",positive
"['tidak', 'kuliah', 'online', 'pandemi', 'bisa', 'main']",positive
"['tidak', 'wisuda', 'tidak', 'nyaman', 'banget', 'kuliah', 'online']",positive
"['bagus', 'bisa', 'fokus', 'kerja', 'ambil', 'side', 'job', 'latih', 'ahli', 'online', 'seminar', 'sembari', 'kuliah', 'online', 'lulus', 'alam', 'sertifikat', 'nilai', 'lumayan', 'umur', 'masih', 'fresh', 'graduated', 'kualitas', 'profesional']",positive
"['gue', 'doang', 'kuliah', 'daring', 'online', 'nyaman', 'banget', 'gue', 'tidak', 'masuk', 'kuliah', 'takut', 'panik']",positive
"['kuliah', 'online', 'sih', 'enak', 'banget', 'enak', 'tidak', 'enak', 'uji', 'susah', 'mepet', 'jam', 'kumpul', 'jujur', 'betah', 'banget', 'kuliah', 'online', 'ngebatin', 'kuliah', 'online', 'bisa', 'teknologi', 'dukung', 'kuliah', 'online', 'kuliah', 'online', 'benar', 'dapat', 'pribadi']",positive
"['kuliah', 'online', 'rindu', 'bukan', 'ajar', 'offline', 'nya', 'sama', 'organisasi', 'oke', 'materi', 'gantung', 'mampu', 'otak', 'offline', 'online', 'susah', 'tangkap', 'materi']",positive
"['pribadi', 'suka', 'ajar', 'online', 'daripada', 'offline', 'bisa', 'hemat', 'ongkos', 'pp', 'kuliah', 'rumah', 'bisa', 'ajar']",positive
"['corona', 'tatap', 'muka', 'pas', 'kuliah', 'online', 'bisa', 'tabung', 'tas', 'gue']",positive
"['cinta', 'kuliah', 'online']",positive
"['saya', 'suka', 'kuliah', 'online', 'alas', 'tidak', 'tidak', 'learning', 'manajemen', 'systems', 'lms', 'tools', 'lecture', 'slide', 'kena', 'sedia', 'online', 'grading', 'mudah', 'video', 'lecture', 'tonton', 'ulang', 'kaji']",positive
"['bismillah', 'kuliah', 'langsung', 'kuliah', 'online', 'moga', 'subsidi', 'buat', 'kuota', 'internet', 'angkat', 'istimewa']",positive
"['suka', 'kuliah', 'online']",positive
"['wabah', 'corona', 'alhamdulillah', 'orang', 'tua', 'tidak', 'putus', 'hubung', 'kerja', 'kuliah', 'online', 'kuota', 'terima', 'kasih', 'ya', 'buat']",positive
"['masih', 'tidak', 'erti', 'orang', 'orang', 'bisa', 'terima', 'wisuda', 'online', 'allah', 'kasih', 'nikmat', 'bisa', 'lulus', 'kuliah', 'cumlaude', 'keluarga', 'sehat', 'hemat', 'biaya']",positive
"['indeks', 'prestasi', 'kumulatif', 'bagus', 'gara', 'gara', 'kuliah', 'online', 'coba', 'nilai', 'nya', 'enak', 'kayak']",positive
"['hikmah', 'balik', 'kuliah', 'online', 'terima', 'kasih', 'tuhan']",positive
"['semenjak', 'kuliah', 'online', 'tau', 'teman', 'bukan']",positive
"['tidak', 'kuliah', 'online', 'tidak', 'bayang', 'pagi', 'lari', 'lt']",positive
"['kuliah', 'online', 'bahagia', 'doa', 'ya', 'moga', 'bisa', 'tahan', 'selesai', 'maaf', 'curhat']",positive
"['teman', 'kuliah', 'online', 'bosan', 'banget', 'sisi', 'teman', 'bahagia', 'bisa', 'kulon', 'tidak', 'ketemu', 'teman', 'pas', 'kuliah', 'online', 'teman', 'gue', 'kuliah', 'gue', 'bujuk', 'semester', 'kuliah', 'online']",positive
"['ibu', 'bahagia', 'adik', 'kuliah', 'online', 'pasang', 'wifi', 'bulan', 'daripada', 'kuliah', 'kota', 'kirim', 'uang', 'makan', 'juta', 'hemat', 'online', 'beliau']",positive
"['bahagia', 'banget', 'kuliah', 'online', 'takut', 'sakit', 'offline']",positive
"['selamat', 'pagi', 'moga', 'hari', 'senang', 'kamu', 'kuliah', 'uji', 'semester', 'online', 'laku', 'maksimal', 'ya', 'semangat', 'jaga', 'sehat', 'lupa', 'bahagia']",positive
