text,sentimen
"Presiden Jokowi menyatakan kuliah online kini sudah menjadi new normal di tengah pandemi. Bahkan, kata @jokowi, kuliah daring akan menjadi sesuatu yang biasa ke depannya. Jokowi yakin akan tumbuh normalitas baru yang lebih inovatif dan produktif. #TopNews ",Positive
"yallah semoga kuliah online terus, nilaiku bagus2",Positive
"masih mending bayar kuota drpd bayar biaya rumah sakit. giliran kenapa” nyalahin menteri ny knp nyuruh sekolah/kuliah, giliran udh disuruh belajar online ngeluh gegara kuota . itu dibaca dulu jangan cuma dilihat judul ny saja tq??",Positive
kok jadi nyaman sama kuliah online ya....,Positive
"gw seneng bgt d akhirnya dosen2 atma ga susah buat kasih nilai bagus ke mahasiswanya, gue seneng bgt kuliah online:) keadaan kayak gn menguntungkan gw ",Positive
"Tujuan kuliah online tuh biar transmisi antar daerah jadi minim. Soalnya banyak kampus yang mahasiswanya beragam dari sabang - merauke. Coba deh misal langsung offline, otomatis banyak yang balik dari daerah asal ke daerah kampus. Itu cuma bikin situasi makin parah.",Positive
"Nggak, nder. Aku sayang nyawaku. kalau masyarakat yang tak peduli ya biar mereka mati-kasarnya. selama kuliah online aku fine2 aja, lebih banyak sumber juga yang kupelajari.",Positive
"mls kuliah offline. dah enak kuliah online, ku kan introvert, malas bertemu teman2. , ""kuliah online aja terus, tp tugasnya jangan banyak2"" no offense, stereotype orang2 yg pikirannya begitu harus digimanain ya biar sadar?",Positive
"ga pernah seniat ini pakai duit cuma buat skincare, padahal dulu berat bgt rasanya mau beli skincare ?? efek kuliah online nih, jadi malas jajan",Positive
" Aku kalau di tempat rame sering deg-degan & khawatir nder, makanya pas kuliah online gini senang banget Dan jujur, dibanding offline, pas online gini materi yang diajarkan dosen lebih paham karena ga ada rasa yang menganggu tadi (deg-degan & khawatir)",Positive
"RT @sweettaekim: seokjin aja yang kuliah online bisa sampe s2, apalagi dia sibuk ngurusin hal lain, tapi berhasil s2 dong, hebat banget",Positive
"Dari pagi ikut pelatihan belajar platform online yang dibikin kampus buat persiapan kuliah semester depan. Sbg orang yg gaptek, tiap habis ikut pelatihan yg berkaitan dg teknologi gini kok rasanya jadi pinter ????",Positive
"Pantas aja masih online kuliahnya, ya kalau langsung ke kampus mah bikin cari penyakit takut ketularan ke  teman kasian yg lain ketularan ... Mending online aja buat sementara dulu []",Positive
Semangat2 mumpung kuliah online,Positive
"Kalian yang kuliah online tapi tetap di rumah dengan niat bantu orang tua untuk bantu pekerjaan rumah dan  gamau membebani orang tua untuk bayar kos dan hidup rantau, kalian hebat. Semangat ya, yuk perbaiki niat kita ??",Positive
"Kuliah online = libur ??
Dan ada pemberitahuan semester gasal daring lagi
Bismillah semoga Allah meridhoi otak kita untuk tetap produktif dalam berpikir dan bekerja??
Ambil hikmahnya aja??",Positive
"awal2 kuliah online aja dong... mau belajar mengendarai motor dulu:( masa ntar merantau naik gojek/angkutan terus, kasian duitku:(",Positive
"kamu bisa kuliah online nder ?????
Semangat",Positive
iya betul! kuliah online gini malah rasanya senang gausah interaksi sama anak kampus. meski terasa terkekang sama pandemi ini ,Positive
"sekedar saran. Misal dari belajar atau kuliah online masih belum paham dgn materinya, coba search di youtube deh. Ada yg bikin materi pembelajaran disana, yg bisa dicerna. Kalau ga ketemu, coba bikin grup belajar sekelas, ajak senior buat ngajarin lewat zoom, teams ",Positive
Gapapa kuliah online aja terus yang penting pandemi usai dan tetep bisa main keluar2?????? ,Positive
"GAPAPA SAMPE WISUDA JUGA GAPAPA, UDAH NYAMAN BANGET KULIAH ONLINE ",Positive
"Bagus ini bisa fokus kerja dulu jadinya, ambil side job juga ikut pelatihan keahlian online, ikut seminar sembari kuliah online, setelah lulus sudah punya pengalaman banyak sertifikat nilai lumayanlah, secara umur masih fresh graduated tapi kualitas profesional. ",Positive
Apa gua doang yang ngerasa kalau selama kuliah daring ( online ) nyaman banget sampe gua ga mau masuk kuliah karna takut panik :v,Positive
" KULIAH ONLINE SIH!! ENAK BANGET!!! 90% enak!!! 10% itu gak enak ujiannya aja susah & mepet2 jam kumpulnya. Tapi jujur, betah bgt kuliah online karena memang sering ngebatin aja “kuliah gini online aja jga bisa. Teknologi skarang mendukung kuliah online”. Ternyata kuliah online beneran. Ini pendapat pribadi.",Positive
 sebenarnya kuliah online seperti sekarang ini yang dirindukan bukan pelajaran offline nya. tapi lebih ke kebersamaannya. organisasinya. okelah kalau materi itu tergantung kemampuan otak masing2 juga. mau offline mau online aku rasa tetep aja ada yang susah nangkep materi,Positive
"Aku pribadi juga lebih suka belajar online daripada offline. Selain bisa hemat ongkos untuk pp kuliah rumah, juga jadi lebih bisa menggunakan waktu yang ada untuk belajar hal lain ",Positive
" @mimemamomuu nanti kan kalau udh corona bakal tatap muka jadi pas kuliah online bisa nabung, krn tas gw kecil semua",Positive
@pratamagaluh Cinta kuliah online,Positive
" Saya lebih suka kuliah secara online. Waktu tak ada alasan untuk tidak tahu/ tidak biasa guna learning management systems (LMS)/ tools. 
Lecture slide kena disediakan, online grading lebih mudah dan video lecture boleh ditonton semula untuk ulang kaji.",Positive
"Bismillah, awal kuliah langsung kuliah online. Semoga ada subsidi buat kuota internet. Memang angkatan 20 istimewa",Positive
@holysyittt .... lebih suka kuliah online,Positive
"Di tengah wabah corona
Alhamdulillah orang tua tidak di phk
Kuliah online tanpa diberi kuota
Thanks ya buat yang disana
.
.
.
#melorot",Positive
"Masih ngga ngerti kenapa orang-orang belum bisa menerima keadaan kalau harus wisuda online, padahal Allah udah kasih nikmat, bisa lulus kuliah, cumlaude, keluarga sehat, hemat biaya, dsb",Positive
"Ipk jadi bagus gegara kuliah online, coba dari dulu ngasih nilai nya enak kek gini ",Positive
"Ada hikmah dibalik kuliah online, makasih Tuhan.",Positive
Semenjak kuliah online jadi tau mana yg bener² temen mana yg bukan??,Positive
ini kalo ga kuliah online ga kebayang pagi2 udah lari ke lt4?? ,Positive
kuliah online aku lebih bahagia:') dan doakan ya semoga aku ttp bisa tahan smpe selesai maaf curhat,Positive
"disini banyak temen2 katanya kuliah online tu bosen banget, tapi di satu sisi ada jg temen2 yg bahagia bisa kulon karena ga ketemu temen2nya pas kuliah online. Seperti temen gw yg akhirnya mau kuliah setelah gw bujuk2 bahwa semester ini kuliah online",Positive
ibuku mlh BAHAGIA adek kuliah online...pasang wifi sebulan cm 350k.Daripada kuliah diluar kota tiap bulan kirim uang makan 750-1jt.lebih hemat online kata beliau.,Positive
aku bahagia bgt kalau bakal kuliah online lg karena takut sakit kalau offline.,Positive
"SELAMAT PAGI, SEMOGA HARIMU MENYENANGKAN, Kalau kamu hari ini kuliah/UTS online, lakukan semaksimal mungkin, ya! Tetap semangat, jaga kesehatan, dan jangan lupa bahagia!",Positive
"YaAllah bahagia, hari ini bisa rebahan, santai2, kuliah online sih ttp tp setidak nya yaa dirumah, makan, nonton tidur. ",Positive
"salah satu keberhasilan teori humanistik adalah siswa merasa senang dan tidak tertekan. jika kuliah online membuat kalian merasa senang dan tidak tertekan maka mari kita kuliah online saja tapi wabah ini segera hilang' -, bu mita bahagia karena muridnya pagi ini pada aktif. ",Positive
"Anak zaman sekarang enak benar kuliah bisa online,zamanku dulu mau nyari dosen aja susahnya minta ampun. Kabar bahagia selama 2 minggu kedepan kuliah online...asik bisa lama2 bersama juragan.",Positive
"Jika anda membayangkan bisa kuliah memasak secara online, ini hal yang akan membuat anda lebih dari bahagia.",Positive
aku le kuliah online sambil disuap makan malam sama ibuku :DD #bahagia,Positive
"Besok 3 mata kuliah , tapi 2 mata kuliah kuliah online #bahagia itu sederhana",Positive
Kuliah online terus aja ye..bahagia rasanya.,Positive
kuliah online = pergi ke warnet - beli voucher - buka twitter - pulang - bahagia,Positive
"Enak di rumah, hangat, bisa selimutan, belajar online aja",Positive
senang kuliah online karena bisa menghindari lingkungan toxic di kampus,Positive
Ga kok kami senang kuliah online senang banget :),Positive
Senang bgt sumpah kuliah online lagi ,Positive
Senang sekali lihat kabar oline class diperpanjang. apalagi kalau kerjakan tugasnya sambil makan cemilan ini. Bikin susahnya gak berasa! Semoga kuliah online sampe lulus.  Saya cinta kuliah online,Positive
Entah knp gw lebih suka kuliah online. Dan ketika pemberitahuan kuliah online diperpanjang smpai akhir semester gw senang.,Positive
"kuliah online sampai akhir musim semester orang lain:  senang tapi sedih juga,  beneran ta ini, wah online class terus me: wah aku tidak harus khawatir vespucini bermasalah lagi, wah hemat bbm rumah ke kampus jauh, wah gak ketemu orang orang yang tak hutang",Positive
"semangat buat kita yang berjuang keras kuliah online yang bener"" membatasi gerak, ingat jaga kesehatan jangan stres hibur diri dengan hal"" yg buat kalian senang ya semua pasti berlalu",Positive
aku senang kuliah online alias tidak boros makeup,Positive
"kuliah online sambil makan bakso, sambil jaga warung, sambil mendengarkan musik.. pokoknya enak banget dah klo online mah! — senang sekali",Positive
Senangnya saat peserta kuliah Online merasa senang diperlakukan secara personal,Positive
makasih.....senang mengikuti kuliah online nya.,Positive
